time	V(p2)	V(c5_ic)	V(reset)	V(vosc)	V(p1)	V(vout)	V(sam)
Step Information: Cin=1µ  (Run: 1/3)
3.202932712928317e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.260017e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.222463962928317e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.246784e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.230468750000000e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.241270e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.233990425856634e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.238814e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.241033777569904e-04	5.000000e+00	-7.799180e+00	0.000000e+00	7.233875e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.241043777569904e-04	5.000000e+00	-7.799180e+00	0.000000e+00	7.233868e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.241063777569904e-04	5.000000e+00	-7.799180e+00	0.000000e+00	7.233854e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.241103777569905e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.233826e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.241183777569906e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.233769e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.241343777569908e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.233656e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.241663777569914e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.233430e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.242303777569924e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.232978e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.246213777569985e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.230210e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.248763777570025e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.228397e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.249782242995506e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227672e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.249908272909041e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227582e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.249978272909042e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227532e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.249990000000000e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227523e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.249993454181914e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227521e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.250000000000000e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227516e+00	0.000000e+00	-7.648660e+00	0.000000e+00
3.250000654581809e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227516e+00	0.000000e+00	-7.648660e+00	3.272909e-01
3.250001963745426e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227515e+00	0.000000e+00	-7.648660e+00	9.818727e-01
3.250004582072660e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227513e+00	0.000000e+00	-7.648660e+00	2.291036e+00
3.250004763345532e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227513e+00	0.000000e+00	-7.648660e+00	2.381673e+00
3.250005125891276e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227513e+00	0.000000e+00	-7.648660e+00	2.562946e+00
3.250005850982765e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227512e+00	0.000000e+00	-7.648660e+00	2.925491e+00
3.250007301165742e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227511e+00	0.000000e+00	-7.648661e+00	3.650583e+00
3.250010000000000e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227509e+00	0.000000e+00	-7.648662e+00	5.000000e+00
3.250010269883426e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227509e+00	0.000000e+00	-7.648662e+00	5.000000e+00
3.250010809650278e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227509e+00	0.000000e+00	-7.648663e+00	5.000000e+00
3.250011889183981e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227508e+00	0.000000e+00	-7.648664e+00	5.000000e+00
3.250014048251387e-04	5.000000e+00	-7.799179e+00	0.000000e+00	7.227506e+00	0.000000e+00	-7.648665e+00	5.000000e+00
